barangay_name,district_number,population_data_2015,population_data_2020,household_population_2015,household_count_2015,average_household_size_2015
Alicia,1,6527,6119,6527,1567,4.17
Amihan,3,4788,3513,4788,1153,4.15
Apolonio Samson,6,38583,33629,38514,8992,4.28
Aurora,4,5636,4221,5636,1286,4.38
Baesa,6,61278,55328,61244,13965,4.39
Bagbag,5,56936,64653,55746,13731,4.06
Bagong Lipunan ng Crame,4,14996,13630,14834,4011,3.7
Bagong Pag-asa,1,32267,29389,32267,8996,3.59
Bagong Silangan,2,88299,106886,88287,19852,4.45
Bagumbayan,3,13832,22147,13832,4641,2.98
Bagumbuhay,3,6767,6681,6650,1637,4.06
Bahay Toro,1,70774,59639,70605,16425,4.3
Balingasa,1,20609,19260,20595,5057,4.07
Balong Bato,2,8228,6991,8228,1922,4.28
Batasan Hills,2,161409,166572,161352,34587,4.67
Bayanihan,3,1222,613,1222,349,3.5
Blue Ridge A,3,1730,1534,1730,335,5.16
Blue Ridge B,3,1701,1071,1701,361,4.71
Botocan,4,8234,7501,7631,1760,4.34
Bungad,1,8057,7014,8057,2376,3.39
Camp Aguinaldo,3,4977,3269,4971,954,5.21
Capri,5,14587,12903,14587,2814,5.18
Central,4,17590,19331,17392,4475,3.89
Claro,3,4432,3885,4432,1123,3.95
Commonwealth,2,198285,213229,198235,45432,4.36
Culiat,6,74304,67804,74208,17279,4.29
Damar,1,1646,952,1644,325,5.06
Damayan,1,8716,6007,8716,2173,4.01
Damayang Lagi,4,18599,19466,18431,5201,3.54
Del Monte,1,12185,10595,11795,2964,3.98
Dioquino Zobel,3,1887,1805,1887,423,4.46
Don Manuel,4,3753,1728,3735,856,4.36
Doña Imelda,4,16915,11724,16806,4630,3.63
Doña Josefa,4,2909,1857,2878,810,3.55
Duyan-duyan,3,3870,3357,3870,1003,3.86
E. Rodriguez,3,19594,17363,19278,5390,3.58
East Kamias,3,6206,6395,6206,1541,4.03
Escopa I,3,2221,2110,2221,487,4.56
Escopa II,3,1766,1683,1766,374,4.72
Escopa III,3,8554,7985,8554,1919,4.46
Escopa IV,3,1919,1837,1919,464,4.14
Fairview,5,53151,61813,52780,12254,4.31
Greater Lagro,5,22764,23569,22590,4853,4.65
Gulod,5,53325,62542,53321,11755,4.54
Holy Spirit,2,110447,111901,110325,24751,4.46
Horseshoe,4,3004,2866,3004,764,3.93
Immaculate Concepcion,4,8670,8169,8496,2226,3.82
Kaligayahan,5,54576,60462,54514,12912,4.22
Kalusugan,4,1745,4786,1662,393,4.23
Kamuning,4,15661,14258,12761,2845,4.49
Katipunan,1,2818,10508,2818,711,3.96
Kaunlaran,4,8167,12387,7990,2205,3.62
Kristong Hari,4,4089,6055,3948,1096,3.6
Krus na Ligas,4,21513,21287,21457,5163,4.16
Laging Handa,4,6750,4812,6669,1396,4.78
Libis,3,4018,4208,4007,926,4.33
Lourdes,1,4813,4523,4687,1171,4.0
Loyola Heights,3,18884,21140,17356,4825,3.6
Maharlika,1,4425,4349,4425,1233,3.59
Malaya,4,4109,2605,4097,905,4.53
Mangga,3,1158,913,1158,280,4.14
Manresa,1,21413,17224,21345,4904,4.35
Mariana,4,11227,11967,10488,2360,4.44
Mariblo,1,4078,3433,4078,1083,3.77
Marilag,3,9812,12555,9804,2190,4.48
Masagana,3,4421,4166,4411,988,4.46
Masambong,1,12841,8800,12841,3184,4.03
Matandang Balara,3,71022,69475,70985,15470,4.59
Milagrosa,3,6130,6775,6130,1400,4.38
N. S. Amoranto,1,6859,5952,6859,1616,4.24
Nagkaisang Nayon,5,49048,53781,49048,11707,4.19
Nayong Kanluran,1,2428,2456,2428,700,3.47
New Era,6,13365,14105,11451,2647,4.33
North Fairview,5,41154,44408,41141,9172,4.49
Novaliches Proper,5,15381,15468,15362,3189,4.82
Obrero,4,8269,9500,8269,2023,4.09
Old Capitol Site,4,1192,1319,1192,340,3.51
Paang Bundok,1,5643,4806,5599,1308,4.28
Pag-ibig sa Nayon,1,5441,5918,5441,1545,3.52
Paligsahan,4,5611,3518,5611,1578,3.56
Paltok,1,17342,18124,17281,4221,4.09
Pansol,3,34240,35254,34202,7733,4.42
Paraiso,1,3790,3537,3790,1045,3.63
Pasong Putik Proper,5,35135,39896,35063,7815,4.49
Pasong Tamo,6,103100,110738,102879,23879,4.31
Payatas,2,130333,139740,130277,28152,4.63
Phil-Am,1,2673,2524,2667,593,4.5
Pinagkaisahan,4,6929,4366,6922,1520,4.55
Pinyahan,4,27653,21868,27383,7262,3.77
Project 6,1,15255,11899,15223,3507,4.34
Quirino 2-A,3,5520,4622,5520,1429,3.86
Quirino 2-B,3,3612,3938,3612,958,3.77
Quirino 2-C,3,2830,3189,2830,769,3.68
Quirino 3-A,3,1141,1070,1141,364,3.13
Ramon Magsaysay,1,16281,14321,16271,4190,3.88
Roxas,4,16060,10670,16050,3465,4.63
Sacred Heart,4,8282,6089,8266,1822,4.54
Saint Ignatius,3,2005,2054,2005,496,4.04
Saint Peter,1,4550,4049,4539,969,4.68
Salvacion,1,8056,6681,8056,2074,3.88
San Agustin,5,22423,25355,22423,5209,4.3
San Antonio,1,25043,22229,25043,6052,4.14
San Bartolome,5,45188,51148,45049,10427,4.32
San Isidro,4,8578,6550,8578,1968,4.36
San Isidro Labrador,1,7181,6247,7181,1809,3.97
San Jose,1,6271,5844,6271,1603,3.91
San Martin de Porres,4,12315,11632,12315,3557,3.46
San Roque,3,20095,19093,20090,4610,4.36
San Vicente,4,7274,7160,7274,1869,3.89
Sangandaan,6,24061,21061,24047,6212,3.87
Santa Cruz,5,4784,3945,4746,1316,3.61
Santa Lucia,5,25577,28215,25561,5719,4.47
Santa Monica,5,46553,51834,46537,10367,4.49
Santa Teresita,1,8377,11776,8342,2034,4.1
Santo Cristo,1,10392,25783,10000,2532,3.95
Santo Domingo,1,13989,11476,13973,3522,3.97
Santo Niño,4,10278,7070,10278,2390,4.3
Santol,4,7548,6410,7534,1641,4.59
Sauyo,6,76039,76289,75955,16488,4.61
Sienna,1,3383,2072,3383,730,4.63
Sikatuna Village,4,6996,6121,6945,1610,4.31
Silangan,3,5036,4831,5011,1153,4.35
Socorro,3,25073,22227,24816,6943,3.57
South Triangle,4,15546,14494,15434,4060,3.8
Tagumpay,3,2208,2257,2208,501,4.41
Talayan,1,5669,4402,5669,1176,4.82
Talipapa,6,35077,38949,34961,7565,4.62
Tandang Sora,6,90290,83114,90197,19994,4.51
Tatalon,4,63129,55404,63094,15135,4.17
Teachers Village East,4,3401,2401,3401,694,4.9
Teachers Village West,4,4270,2986,4250,980,4.34
U.P. Campus,4,45520,47127,44244,10607,4.17
U.P. Village,4,5157,3167,5141,1633,3.15
Ugong Norte,3,9953,6301,9953,2286,4.35
Unang Sigaw,6,7267,6508,7257,1662,4.37
Valencia,4,8547,10900,8529,2071,4.12
Vasra,1,8867,7345,8839,2301,3.84
Veterans Village,1,11520,12755,11463,3152,3.64
Villa Maria Clara,3,2393,2442,2393,582,4.11
West Kamias,3,4918,4055,4849,1201,4.04
West Triangle,1,4199,2431,4187,933,4.49
White Plains,3,4734,3558,4734,861,5.5
